id,group_id,course_code,is_mandatory,notes
635,27,COPC98H3,1,
636,27,COPC99H3,1,
637,27,COPC01H3,1,
638,27,COPC02H3,1,
639,27,COPC03H3,1,
640,27,COPC04H3,1,
641,27,COPC05H3,1,
642,28,FREA01H3,1,
643,28,FREA02H3,1,
644,28,FREB01H3,1,
645,28,FREB02H3,1,
646,28,COPB50H3,1,
647,28,COPB58H3,1,
648,28,COPB51H3,1,
649,28,COPB59H3,1,
650,28,COPB52H3,1,
651,28,COPC98H3,1,
652,28,COPC99H3,1,
653,28,COPC01H3,1,
654,28,COPC02H3,1,
655,28,COPC03H3,1,
656,28,COPC04H3,1,
657,28,COPC05H3,1,
658,29,HLTA02H3,1,
659,29,HLTA03H3,1,
660,29,COPB50H3,1,
661,29,COPB58H3,1,
662,29,COPB51H3,1,
663,29,COPB59H3,1,
664,29,COPB52H3,1,
665,29,COPC98H3,1,
666,29,COPC99H3,1,
667,29,COPC01H3,1,
668,29,COPC02H3,1,
669,29,COPC03H3,1,
670,29,COPC04H3,1,
671,29,COPC05H3,1,
672,30,HISA01H3,1,
673,30,HISA02H3,1,
674,30,HISA03H3,1,
675,30,HISA04H3,1,
676,30,HISA05H3,1,
677,30,HISA06H3,1,
678,30,GASA01H3,1,
679,30,HISA07H3,1,
680,30,CLAA04H3,1,
681,30,HISA08H3,1,
682,30,HISA09H3,1,
683,30,AFSA01H3,1,
684,30,HISB03H3,1,
685,30,COPB50H3,1,
686,30,COPB58H3,1,
687,30,COPB51H3,1,
688,30,COPB59H3,1,
689,30,COPB52H3,1,
690,30,COPC98H3,1,
691,30,COPC99H3,1,
692,30,COPC01H3,1,
693,30,COPC02H3,1,
694,30,COPC03H3,1,
695,30,COPC04H3,1,
696,30,COPC05H3,1,
697,31,BIOA11H3,1,
698,31,BIOA12H3,1,
699,31,MATA02H3,1,
700,31,BIOA01H3,1,
701,31,BIOA02H3,1,
702,31,CHMA10H3,1,
703,31,CHMA11H3,1,
704,31,CHMA12H3,1,
705,31,HLTA02H3,1,
706,31,HLTA03H3,1,
707,31,HLTB15H3,1,
708,31,HLTB16H3,1,
709,31,HLTB20H3,1,
710,31,HLTB22H3,1,
711,31,HLTB40H3,1,
712,31,HLTB44H3,1,
713,31,PSYA01H3,1,
714,31,PSYA02H3,1,
715,31,MATA29H3,1,
716,31,MATA30H3,1,
717,31,STAB22H3,1,
718,31,PSYB07H3,1,
719,31,BIOB10H3,1,
